,Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs,Losing_season
0,Boston Celtics,63,19,.768,112.0,105.6,6.35,Y,N
1,Philadelphia 76ers,58,24,.707,111.2,105.5,5.74,Y,N
2,New Jersey Nets,44,38,.537,106.7,106.0,0.87,Y,N
3,Washington Bullets,43,39,.524,103.5,102.6,1.06,Y,N
4,New York Knicks,33,49,.402,106.2,108.9,-2.15,N,Y
5,Milwaukee Bucks,55,27,.671,108.4,102.9,5.38,Y,N
6,Atlanta Hawks,42,40,.512,101.0,100.5,0.81,Y,N
7,Detroit Pistons,39,43,.476,111.1,112.0,-0.63,N,Y
8,Indiana Pacers,35,47,.427,102.2,104.0,-1.49,N,Y
9,Chicago Bulls,34,48,.415,106.6,108.6,-1.57,N,Y
10,Cleveland Cavaliers,15,67,.183,103.2,111.7,-7.77,N,Y
11,San Antonio Spurs,48,34,.585,113.1,110.8,1.79,Y,N
12,Denver Nuggets,46,36,.561,126.5,126.0,0.13,Y,N
13,Houston Rockets,46,36,.561,105.9,105.9,-0.39,Y,N
14,Kansas City Kings,30,52,.366,107.1,110.2,-3.25,N,Y
15,Dallas Mavericks,28,54,.341,104.6,109.0,-4.48,N,Y
16,Utah Jazz,25,57,.305,110.9,116.6,-5.63,N,Y
17,Los Angeles Lakers,57,25,.695,114.6,109.8,4.37,Y,N
18,Seattle SuperSonics,52,30,.634,107.3,103.1,3.69,Y,N
19,Phoenix Suns,46,36,.561,106.2,102.7,3.05,Y,N
20,Golden State Warriors,45,37,.549,110.9,109.8,0.80,N,N
21,Portland Trail Blazers,42,40,.512,109.8,109.2,0.39,N,N
22,San Diego Clippers,17,65,.207,108.5,115.9,-7.05,N,Y
